Country,Month,Temperature,Humidity
Burundi,July,21.0,44.86
Angola,July,40.91,46.24
Guinea-Bissau,August,44.51,88.77
Central African Republic,June,48.09,77.23
Djibouti,May,44.51,70.03
Cabo Verde,August,24.89,28.77
Chad,August,40.3,44.13
Tanzania,May,43.28,14.19
Algeria,July,40.75,48.67
Chad,May,48.31,72.23
Sudan,July,24.55,48.37
Gabon,June,30.71,71.45
South Sudan,July,25.35,82.37
Nigeria,May,29.37,42.77
Libya,August,20.02,26.42
Cameroon,July,21.53,29.51
Congo,May,34.77,48.33
Namibia,May,36.0,71.49
Kenya,August,45.73,46.99
Madagascar,August,30.57,78.6
Sierra Leone,July,27.65,88.37
Guinea-Bissau,July,25.41,15.73
Benin,May,43.23,66.02
Namibia,June,49.51,19.71
Central African Republic,May,44.46,14.5
Burundi,July,35.86,58.25
Botswana,June,43.18,18.27
Ghana,June,33.66,42.9
Guinea-Bissau,May,27.89,79.4
Senegal,May,29.48,89.56
Niger,August,45.11,71.41
Ghana,July,26.79,31.72
Uganda,August,37.23,88.81
South Sudan,August,35.21,60.02
Rwanda,August,28.17,77.45
Guinea-Bissau,August,30.75,51.19
Cameroon,July,42.92,37.7
Burkina Faso,August,39.38,36.44
Egypt,August,41.64,43.06
Senegal,June,20.98,41.58
Ivory Coast,May,41.19,46.01
Somalia,May,48.54,49.38
Guinea,May,43.59,15.82
Cabo Verde,June,23.51,25.83
Madagascar,July,28.93,13.43
Gambia,June,27.8,20.46
Central African Republic,June,45.08,38.7
Guinea,May,31.0,38.65
Kenya,July,35.43,30.55
Namibia,June,40.0,31.66
Egypt,May,31.47,70.95
Namibia,August,36.74,69.86
Lesotho,June,32.06,60.82
Somalia,June,34.93,64.04
Mozambique,July,39.94,14.26
Madagascar,May,35.1,45.09
Benin,June,46.88,40.52
Sierra Leone,August,42.75,73.31
Congo,July,31.7,46.22
Sudan,August,22.29,84.64
Gabon,July,46.66,12.42
Eswatini,May,42.91,86.19
Liberia,August,48.44,49.12
Algeria,August,42.89,36.42
Gambia,July,38.53,81.3
Botswana,August,45.36,83.87
Somalia,July,31.0,81.27
Zimbabwe,July,21.44,12.9
South Africa,July,31.8,16.63
Madagascar,July,28.45,58.08
Djibouti,July,21.96,50.82
Somalia,May,24.9,73.02
Ghana,June,47.9,43.4
Mauritius,August,48.94,89.29
Chad,August,36.69,72.67
Uganda,May,49.58,49.68
Djibouti,August,39.0,74.6
Eritrea,August,26.08,47.29
Liberia,August,23.78,73.24
South Sudan,May,20.07,69.39
Nigeria,May,28.36,46.75
Ivory Coast,May,24.21,51.15
Namibia,August,33.39,78.47
Libya,May,38.77,33.65
Congo,May,24.01,54.41
Democratic Republic of the Congo,August,24.65,68.26
Mauritius,June,24.76,57.93
Madagascar,July,31.03,75.81
Egypt,July,43.75,45.99
Burkina Faso,May,21.66,47.24
Malawi,August,42.47,86.39
Lesotho,August,38.56,61.22
Uganda,August,27.83,56.67
Sudan,August,39.45,51.08
Sudan,June,25.44,17.8
Libya,June,26.65,41.88
Central African Republic,June,35.98,30.84
Cabo Verde,June,20.34,30.24
